original,decoded,is_valid,is_same,smile_accuracy,tanimoto_distance,total_avg_accuracy
CC(c1ccccc1)n1nnnc1N1CCC2(CCCO2)CC1,Cc1)(C1O)C(=O)c2))))))))1,0,0,2.857142857142857,1,9.27561579223655
Cc1ccc(-c2cccc(S(C)(=O)=O)c2)cc1O,Cc1C(C(=O)C2O)c2))))))))),0,0,18.181818181818183,1,9.27561579223655
O=S(=O)(c1cccc(Cl)c1)N1C2CCC1COC2,Cc1)(C1O)C2O)))))))))))),0,0,6.0606060606060606,1,9.27561579223655
CCCc1cc(=O)[nH]c2cc(NC(=O)c3ccsc3)ccc12,Cc1)(C1O)C(=O)))))))))))1,0,0,2.564102564102564,1,9.27561579223655
Cc1nn(C)c(C)c1C(=O)N1CCN(C(=O)c2cccc(F)c2)CC1,Cc1)(C(=O)C2O)c2C)))))))1,0,0,11.11111111111111,1,9.27561579223655
c1csc(-c2nnc3sc(-c4csnn4)nn23)c1,Cc1)(C1O)C(=O)c2C)))))))1,0,0,3.125,1,9.27561579223655
CCn1c(COc2cccc3cccnc23)nnc1SCC(N)=O,Cc1)(C1O)C2O)c)))))))))),0,0,11.428571428571429,1,9.27561579223655
CC(C)CC(=O)Nc1ccc(C2OCC(=O)N(C)C2CO)cc1,Cc1)(C(=O)C2OCc2))))))))1,0,0,7.6923076923076925,1,9.27561579223655
CS(=O)(=O)c1nccn1-c1ccc(Cl)c(Cl)c1,Cc1C(C1O)C(=O)c)))))))))1,0,0,5.88235294117647,1,9.27561579223655
COc1ccc(C(=O)N2CCCc3c(cnn3C)C2)cc1,Cc1)(C1O)C(=O)))C)))))))11,0,0,5.88235294117647,1,9.27561579223655
CC(O)CCN(C)C(=O)Nc1ccc(CN2CCCC2=O)cc1,Cc1)(C(=O)C2O)c)))))))))),0,0,8.108108108108109,1,9.27561579223655
COc1ccc(F)c(NCC(=O)Nc2ccc(CC#N)cc2)c1,Cc1)(C(=O)C2O)c)))))))))1,0,0,8.108108108108109,1,9.27561579223655
C#CCC(NC(=O)c1cc(C)n(-c2ccccc2)n1)C(N)=O,Cc1C(C1O)C(=O)c)))))))))1,0,0,10.0,1,9.27561579223655
O=C(Nc1onc2c1CCCC2)C1CCN(C(=O)NC2CC2)CC1,Cc1)(C1O)C2OCc2))))))))),0,0,7.5,1,9.27561579223655
Cc1ccc(F)cc1S(=O)(=O)Nc1ccc(F)cc1F,Cc1C(C1O)C2OCC)))))))))1,0,0,20.588235294117645,1,9.27561579223655
CSc1nnc(SCc2cccc(C(=O)N(C)C)c2)s1,Cc1C(C1O)C2OCc)C)))))))),0,0,12.121212121212121,1,9.27561579223655
O=C1c2cnc(N3CCOCC3)nc2CN1CCc1ccco1,O1)(C1O)C2O)c)C)))))))),0,0,5.88235294117647,1,9.27561579223655
