original,decoded,is_valid,is_same,smile_accuracy,tanimoto_distance,total_avg_accuracy
CCCN(C1CCN2CC1)S(=O)(=O)c1ccccc1OC(F)(F)F,CCCN(C1CCc2CC1)S(=O)(=O)c1ccccc1OC(F)(F)F,x,0,97.56097561,-1,98.37712563
CCOc1cc(C)cc(C)c1C1CC(C)CN21,CCOc1cc(C)cc(C)c1C1CC(C)CN21,x,1,100,-1,98.37712563
CC1NC(=O)C2CCCN2C(=O)C(C(C)C)NC(=O)COc2ccc(cc2)CC(C(=O)N,CC1NC(=c)C2CCCN2C(=O)C(C(C)C)NC(=O)COc2ccc(cc2)CC(C(=O)N,x,0,98.21428571,-1,98.37712563
O=C(NCCc1cccnc1)c1cn2c(n1)C(c1ccccc1)N(C(=O)Cc1cccnc1)CC,O=C(NCCc1cccnc1)c1cn2c(n1cC(c1ccccc1)N(C(=O)Cc1cccnc1)CC,x,0,98.21428571,-1,98.37712563
O=C(NNc1ccc(N(=O)O-)cc1)C(F)F,O=C(NNc1ccccN(=O)O-)cc1)C(F)F,x,0,96.55172414,-1,98.37712563
CCCCN(Cc1c2ccccc2nc1c1ccccc1)C1CCS(=O)(=O)C1,CcCCN(Cc1c2ccccc2nc1c1ccccc1)C1CCS(=O)(=O)C1,x,0,97.72727273,-1,98.37712563
CCNC(=O)c1cccc(NS(=O)(=O)c2cncn2)c1,CCNC(=O)c1cccc(NS(=O)(=c)c2cncn2)c1,x,0,97.14285714,-1,98.37712563
O=C(O-)C=Cc1cccc(B)c1OCc1ccccc1F,O=C(O-)C=Cc1cccc(B)c1OCc1ccccc1F,x,1,100,-1,98.37712563
CCCCCCc1c(c2ccc(NCc3cccc4ccccc34)cc2)c(CCCCCC)c(c2ccc(NC,CCCCCCc1c(c2ccc(NCc3cccc4cccccc4)cc2)c(CCCCCC)c(c2ccc(NC,x,0,98.21428571,-1,98.37712563
CC(Oc1cc(n2nc3n(c2=O)CCOC3)c(F)cc1C(=O)Nc1c(F)cccc1F)C(F,CC(Oc1cc(n2nc3n(c2=O)CCOC3)c(F)cc1C(=O)Nc1c(F)cccc1F)C(F,x,1,100,-1,98.37712563
Cc1noc2nc(c3ccco3)cc(C(=O)OCC(=O)Nc3sc4c(c3C#N)CCCCC4)c1,Cc1noc2nc(c3ccco3)cc(C(=O)cCC(=O)Nc3sc4c(c3C#N)CCCCC4)c1,x,0,98.21428571,-1,98.37712563
CCOC(=O)C(CC)N2Cc1ccc(C)s1,CCOC(=O)C(CC)N2Cc1ccc(C)s1,x,1,100,-1,98.37712563
CC(N2CC(C(C)C)N(C)C)c1cccc(C)c1C,CC(N2CC(C(C)C)c(C)C)c1cccc(C)c1C,x,0,96.875,-1,98.37712563
N3C1CCC(Cc2ccc(F)cc2F)C1,N3C1CCC(Cc2ccc(F)cc2c)C1,x,0,95.83333333,-1,98.37712563
CC(F)c1c(C)cccc1CC1CCN2C1,CC(F)c1c(C)cccc1CC1CCN2C1,x,1,100,-1,98.37712563
CCN2C(CC)c1ccc(OCCCF)cc1,CCN2C(CC)c1ccc(OCCCF)cc1,x,1,100,-1,98.37712563
CC(C)Oc1cccc(C=CC(=O)NCCCC(=O)O-)c1,CC(C)Oc1cccc(C=CC(=O)NCcCC(=O)O-)c1,x,0,97.14285714,-1,98.37712563
Nc1cccc(C(=O)N2CCCC2CC(=O)O-)c1,Nc1cccc(C(=O)N2CCCC2CC(=O)O-)c1,x,1,100,-1,98.37712563
NC(N)=NC(CC(=O)O-)c1cccc(C(F)(F)F)c1,NC(N)=NC(CC(=O)O-)c1cccc(C(F)(F)F)c1,x,1,100,-1,98.37712563
Cn1nc(B)c2c1CCC2(O)CCN3,Cn1nc(B)c2ccCCC2(O)CCN3,x,0,95.65217391,-1,98.37712563
